ano,campus,curso,entradas_vest,entradas_sisu,entradas_provare,evasao_vest,evasao_sisu,evasao_provare,evasao_total,perc_vest,perc_sisu,perc_provare,perc_total
2020,CCSC,Administração,26,17,9,0,0,1,1,0.0,0.0,11.11,1.92
2020,CCSC,Ciência da Computação,16,17,7,1,3,1,5,6.25,17.65,14.29,12.5
2020,CCSC,Ciências Biológicas,39,33,9,3,7,1,11,7.69,21.21,11.11,13.58
2020,CCSC,Ciências Contábeis,20,16,4,0,0,0,0,0.0,0.0,0.0,0.0
2020,CCSC,Ciências Econômicas,25,22,5,0,1,1,2,0.0,4.55,20.0,3.85
2020,CCSC,Enfermagem,20,16,5,1,3,1,5,5.0,18.75,20.0,12.2
2020,CCSC,Engenharia Agrícola,17,16,7,0,6,2,8,0.0,37.5,28.57,20.0
2020,CCSC,Engenharia Civil,16,17,7,1,3,0,4,6.25,17.65,0.0,10.0
2020,CCSC,Farmácia,17,15,8,0,1,0,1,0.0,6.67,0.0,2.5
2020,CCSC,Fisioterapia,19,14,7,1,0,2,3,5.26,0.0,28.57,7.5
2020,CCSC,Superior de Tecnologia em Gestão Pública,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020,CCSC,Letras,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020,CCSC,Letras - Língua Portuguesa e Língua Espanhola e Respectivas Literaturas,8,8,0,4,5,0,9,50.0,62.5,0.0,56.25
2020,CCSC,Letras - Língua Portuguesa e Língua Inglesa e Respectivas Literaturas,10,7,3,1,3,0,4,10.0,42.86,0.0,20.0
2020,CCSC,Letras - Língua Portuguesa e Língua Italiana e Respectivas Literaturas,7,6,2,0,0,1,1,0.0,0.0,50.0,6.67
2020,CCSC,Letras - Língua Portuguesa e Língua Brasileira de Sinais - Libras - Tradução e Interpretação,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020,CCSC,Letras - língua Portuguesa e Língua Brasileira de Sinais- Libras e Literaturas Brasileira e Surda.,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020,CCSC,Matemática,20,16,5,4,1,1,6,20.0,6.25,20.0,14.63
2020,CCSC,Medicina,20,19,1,0,1,0,1,0.0,5.26,0.0,2.5
2020,CCSC,Odontologia,20,15,6,0,2,0,2,0.0,13.33,0.0,4.88
2020,CCSC,Pedagogia,38,32,12,2,6,0,8,5.26,18.75,0.0,9.76
2020,CFOZ,Administração,18,15,7,1,0,0,1,5.56,0.0,0.0,2.5
2020,CFOZ,Ciência da Computação,19,20,3,1,0,0,1,5.26,0.0,0.0,2.38
2020,CFOZ,Ciências Contábeis,17,17,7,0,5,0,5,0.0,29.41,0.0,12.2
2020,CFOZ,Direito,21,17,4,0,1,1,2,0.0,5.88,25.0,4.76
2020,CFOZ,Enfermagem,18,10,12,2,1,1,4,11.11,10.0,8.33,10.0
2020,CFOZ,Engenharia Elétrica,17,19,2,0,2,1,3,0.0,10.53,50.0,7.89
2020,CFOZ,Engenharia Mecânica,17,17,7,3,3,1,7,17.65,17.65,14.29,17.07
2020,CFOZ,Hotelaria,9,12,4,1,1,1,3,11.11,8.33,25.0,12.0
2020,CFOZ,Letras,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020,CFOZ,Letras - Língua Portuguesa e Língua Espanhola e Respectivas Literaturas,7,9,3,0,0,0,0,0.0,0.0,0.0,0.0
2020,CFOZ,Letras - Língua Portuguesa e Língua Inglesa e Respectivas Literaturas,12,9,3,0,0,1,1,0.0,0.0,33.33,4.17
2020,CFOZ,Matemática,8,15,3,0,2,0,2,0.0,13.33,0.0,7.69
2020,CFOZ,Pedagogia,20,16,4,0,1,0,1,0.0,6.25,0.0,2.5
2020,CFOZ,Turismo,15,16,4,0,2,0,2,0.0,12.5,0.0,5.71
2020,CFB,Administração,17,17,6,0,4,0,4,0.0,23.53,0.0,10.0
2020,CFB,Ciências Econômicas,25,22,5,1,3,1,5,4.0,13.64,20.0,9.62
2020,CFB,Direito,19,18,3,0,2,0,2,0.0,11.11,0.0,5.0
2020,CFB,Geografia,19,24,7,2,4,0,6,10.53,16.67,0.0,12.0
2020,CFB,Medicina,19,19,2,0,1,0,1,0.0,5.26,0.0,2.5
2020,CFB,Nutrição,18,14,8,3,1,1,5,16.67,7.14,12.5,12.5
2020,CFB,Pedagogia,39,38,5,2,4,0,6,5.13,10.53,0.0,7.32
2020,CFB,Serviço Social,19,15,3,0,1,0,1,0.0,6.67,0.0,2.7
2020,CMCR,Administração,18,20,2,4,0,0,4,22.22,0.0,0.0,10.0
2020,CMCR,Agronomia,15,18,7,1,0,0,1,6.67,0.0,0.0,2.5
2020,CMCR,Ciências Contábeis,20,19,1,2,0,0,2,10.0,0.0,0.0,5.0
