campus,curso,ano,incritos_vest,incritos_sisu,incritos_provare,ingressantes_vest,ingressantes_sisu,ingressantes_provare,ingressantes_geral,primeiro_ano,segundo_ano,terceiro_ano,quarto_ano,quinto_ano,sexto_ano,ano_minino,vagas,ocupação,formados_geral,formados_min,Permanencia
CCSC,Curso: Administração = 50 vagas -  noturno 4 anos  (52 vagas a partir de 2014) - Cascavel,2009.0,679.0,,,50.0,,,50.0,54.0,53.0,49.0,44.0,,,2006.0,50.0,,42.0,27.0,1.0
CCSC,Curso: Administração = 50 vagas -  noturno 4 anos  (52 vagas a partir de 2014) - Cascavel,2010.0,451.0,,,50.0,,,50.0,60.0,50.0,44.0,46.0,,,2007.0,50.0,,33.0,27.0,1.0
CCSC,Curso: Administração = 50 vagas -  noturno 4 anos  (52 vagas a partir de 2014) - Cascavel,2011.0,503.0,,,50.0,,,50.0,58.0,56.0,46.0,40.0,,,2008.0,50.0,,33.0,21.0,1.0
CCSC,Curso: Administração = 50 vagas -  noturno 4 anos  (52 vagas a partir de 2014) - Cascavel,2012.0,398.0,,,51.0,,,51.0,56.0,42.0,63.0,44.0,,,2009.0,50.0,194.0,29.0,19.0,1.025
CCSC,Curso: Administração = 50 vagas -  noturno 4 anos  (52 vagas a partir de 2014) - Cascavel,2013.0,404.0,,,50.0,,,50.0,53.0,45.0,44.0,58.0,,,2010.0,50.0,237.0,45.0,29.0,1.0
CCSC,Curso: Administração = 50 vagas -  noturno 4 anos  (52 vagas a partir de 2014) - Cascavel,2014.0,370.0,1382.0,,26.0,26.0,,52.0,55.0,49.0,42.0,48.0,,,2011.0,52.0,192.0,35.0,23.0,0.9326923077
CCSC,Curso: Administração = 50 vagas -  noturno 4 anos  (52 vagas a partir de 2014) - Cascavel,2015.0,287.0,1.275,,34.0,18.0,,52.0,51.0,44.0,52.0,45.0,,,2012.0,52.0,188.0,33.0,21.0,0.9230769231
CCSC,Curso: Administração = 50 vagas -  noturno 4 anos  (52 vagas a partir de 2014) - Cascavel,2016.0,277.0,424.0,,26.0,26.0,,52.0,55.0,45.0,54.0,44.0,,,2013.0,52.0,198.0,22.0,12.0,0.9519230769
CCSC,Curso: Administração = 50 vagas -  noturno 4 anos  (52 vagas a partir de 2014) - Cascavel,2017.0,242.0,1002.0,,26.0,26.0,,52.0,56.0,48.0,58.0,39.0,,,2014.0,52.0,192.0,42.0,26.0,0.9663461538
CCSC,Curso: Administração = 50 vagas -  noturno 4 anos  (52 vagas a partir de 2014) - Cascavel,2018.0,258.0,812.0,,26.0,26.0,,52.0,54.0,51.0,54.0,42.0,,,2015.0,52.0,196.0,23.0,15.0,0.9663461538
